标题,行政区,板块,小区,面积,朝向,户型,租金
整租·尚品华庭 3室2厅 南/北,闵行,华漕,尚品华庭,99.0,南北,3室2厅1卫,10500.0
整租·万里双子座 1室2厅 南,普陀,万里,万里双子座,81.05,南,1室2厅1卫,6500.0
整租·和龙新苑 5室2厅 南,浦东,外高桥,和龙新苑,91.39,南,5室2厅1卫,4200.0
整租·誉品谷水湾 3室2厅 南,松江,松江大学城,誉品谷水湾,170.5,南,3室2厅2卫,9900.0
整租·佘山假日半岛 1室1厅 东,松江,佘山,佘山假日半岛,54.8,东,1室1厅1卫,3200.0
整租·上置美兰优湖 1室1厅 南,宝山,罗店,上置美兰优湖,98.33,南,1室1厅1卫,4200.0
整租·城市一品苑 4室2厅 南,黄浦,淮海中路,城市一品苑,180.1,南,4室2厅2卫,40000.0
整租·星丰苑 2室1厅 南,闵行,莘庄北广场,星丰苑,82.56,南,2室1厅1卫,5000.0
整租·郡江国际 1室1厅 南,杨浦,周家嘴路,郡江国际,66.28,南,1室1厅1卫,4800.0
整租·绿地领海(商业类) 2室1厅 南,宝山,上大,绿地领海(商业类),60.17,南,2室1厅1卫,3200.0
整租·誉品谷水湾 3室2厅 南,松江,松江大学城,誉品谷水湾,170.5,南,3室2厅2卫,9900.0
整租·六里新村 1室1厅 南,浦东,世博,六里新村,36.0,南,1室1厅1卫,5000.0
整租·美瑞清河湾 2室1厅 南,青浦,香花桥,美瑞清河湾,41.36,南,2室1厅1卫,3500.0
整租·郡江国际 1室1厅 南,杨浦,周家嘴路,郡江国际,66.28,南,1室1厅1卫,4800.0
整租·陕西北路342弄 2室0厅 南,静安,南京西路,陕西北路342弄,23.6,南,2室0厅1卫,5800.0
整租·城市一品苑 4室2厅 南,黄浦,淮海中路,城市一品苑,180.1,南,4室2厅2卫,40000.0
整租·尚品华庭 3室2厅 南/北,闵行,华漕,尚品华庭,99.0,南北,3室2厅1卫,10500.0
整租·佘山假日半岛 1室1厅 东,松江,佘山,佘山假日半岛,54.8,东,1室1厅1卫,3200.0
整租·城宁花苑 4室2厅 复式 南,长宁,中山公园,城宁花苑,217.64,南,4室2厅2卫,26000.0
整租·保利叶上海(一期) 4室2厅 南,宝山,顾村,保利叶上海(一期),88.26,南,4室2厅1卫,3800.0
整租·上置美兰优湖 1室1厅 南,宝山,罗店,上置美兰优湖,98.33,南,1室1厅1卫,4200.0
整租·海上风华 3室2厅 南/北,浦东,临港新城,海上风华,123.32,南北,3室2厅3卫,4100.0
整租·曼克顿豪庭 1室1厅 南,静安,江宁路,曼克顿豪庭,62.8,南,1室1厅1卫,12180.0
整租·绿色丽园 1室1厅 南,静安,大宁,绿色丽园,40.3,南,1室1厅1卫,5500.0
整租·绿中海明苑一期（公寓） 3室2厅 南,青浦,徐泾,绿中海明苑一期（公寓）,163.02,南,3室2厅2卫,11500.0
整租·新顾村大家园C区 3室2厅 南,宝山,顾村,新顾村大家园C区,130.0,南,3室2厅2卫,4200.0
整租·闵浦新苑六村 2室1厅 南/北,闵行,闵浦,闵浦新苑六村,74.0,南北,2室1厅1卫,3800.0
整租·西郊美林馆 4室2厅 复式 南/西南,青浦,徐泾,西郊美林馆,293.33,南西南,4室2厅3卫,32000.0
整租·南丹路128弄 1室1厅 南,徐汇,徐家汇,南丹路128弄,53.1,南,1室1厅1卫,7800.0
整租·雍华府(公寓) 2室1厅 南/北,闵行,颛桥,雍华府(公寓),74.45,南北,2室1厅1卫,6600.0
整租·先棉祠街小区 1室1厅 南,黄浦,豫园,先棉祠街小区,34.06,南,1室1厅1卫,5288.0
整租·卓越时代广场 1室1厅 南,宝山,共康,卓越时代广场,67.9,南,1室1厅1卫,3100.0
整租·良辰美景公寓 2室2厅 南,虹口,江湾镇,良辰美景公寓,86.47,南,2室2厅1卫,6500.0
整租·合生江湾国际公寓 2室2厅 南,杨浦,新江湾城,合生江湾国际公寓,96.19,南,2室2厅1卫,9300.0
整租·南桥金茂悦 3室2厅 南/北,奉贤,奉贤金汇,南桥金茂悦,99.75,南北,3室2厅2卫,2000.0
整租·锦辉豪居 2室2厅 南,宝山,张庙,锦辉豪居,98.59,南,2室2厅1卫,6000.0
整租·钰丰商都 2室1厅 南,松江,泗泾,钰丰商都,62.11,南,2室1厅2卫,3600.0
整租·保利叶之林(三期) 2室2厅 南/北,宝山,上大,保利叶之林(三期),109.0,南北,2室2厅2卫,6500.0
整租·阳光城MODO自由区 2室2厅 南,浦东,高行,阳光城MODO自由区,67.66,南,2室2厅2卫,6500.0
整租·老西门新苑 3室2厅 南/北,黄浦,老西门,老西门新苑,143.0,南北,3室2厅2卫,23000.0
整租·虹桥世界中心 2室2厅 南,青浦,徐泾,虹桥世界中心,72.87,南,2室2厅1卫,6500.0
整租·乐都新界 2室1厅 南/北,松江,松江老城,乐都新界,67.21,南北,2室1厅1卫,3300.0
整租·三春汇秀苑 3室2厅 南,闵行,莘庄南广场,三春汇秀苑,106.24,南,3室2厅1卫,6900.0
整租·临汾路1564弄 2室1厅 南,静安,彭浦,临汾路1564弄,55.33,南,2室1厅1卫,4500.0
整租·泛欧现代大厦 2室1厅 西,静安,大宁,泛欧现代大厦,56.35,西,2室1厅1卫,7200.0
整租·卓越世纪中心(青浦) 2室2厅 南,青浦,盈浦,卓越世纪中心(青浦),61.22,南,2室2厅2卫,3150.0
整租·呼玛一村 2室1厅 南,宝山,张庙,呼玛一村,55.41,南,2室1厅1卫,3800.0
整租·三春汇秀苑 3室2厅 南,闵行,莘庄南广场,三春汇秀苑,106.24,南,3室2厅1卫,6900.0
整租·番禺路277弄 2室1厅 南,长宁,新华路,番禺路277弄,48.23,南,2室1厅1卫,7600.0
整租·定西路1235弄 1室1厅 南,长宁,中山公园,定西路1235弄,29.94,南,1室1厅1卫,5200.0
整租·万科金色领域 3室1厅 南,嘉定,菊园新区,万科金色领域,89.55,南,3室1厅1卫,4000.0
整租·宝华帝华园 3室2厅 南/北,奉贤,青村,宝华帝华园,90.9,南北,3室2厅2卫,4000.0
整租·虹桥机场新村 3室2厅 南,长宁,西郊,虹桥机场新村,116.0,南,3室2厅1卫,7500.0
整租·曹杨七村 2室1厅 南/北,普陀,曹杨,曹杨七村,37.77,南北,2室1厅1卫,4900.0
整租·莘城公寓 3室2厅 南,闵行,莘庄南广场,莘城公寓,136.98,南,3室2厅2卫,8500.0
整租·嘉隆国际广场 4室2厅 复式 南/北,嘉定,徐行,嘉隆国际广场,189.72,南北,4室2厅2卫,6000.0
整租·长城小区 1室1厅 北,静安,曹家渡,长城小区,26.44,北,1室1厅1卫,6000.0
整租·森兰美伦 3室2厅 南,浦东,高行,森兰美伦,171.96,南,3室2厅2卫,15800.0
整租·山龙新村 3室1厅 南,金山,金山新城,山龙新村,100.0,南,3室1厅1卫,3000.0
整租·申亚新华府 3室3厅 南/北,长宁,新华路,申亚新华府,175.27,南北,3室3厅2卫,24000.0
整租·乌南396 2室1厅 南,徐汇,衡山路,乌南396,168.29,南,2室1厅2卫,55000.0
整租·化工小区(静安) 1室1厅 南,静安,南京西路,化工小区(静安),31.5,南,1室1厅1卫,5300.0
整租·东家 3室2厅 南,宝山,杨行,东家,128.0,南,3室2厅2卫,5000.0
整租·新天大厦 1室1厅 南,普陀,长寿路,新天大厦,48.0,南,1室1厅1卫,4600.0
整租·合生江湾国际公寓 2室2厅 南,杨浦,新江湾城,合生江湾国际公寓,96.19,南,2室2厅1卫,9300.0
整租·南桥金茂悦 3室2厅 南/北,奉贤,奉贤金汇,南桥金茂悦,99.75,南北,3室2厅2卫,2000.0
整租·君莲宏润丽苑 2室1厅 南,闵行,颛桥,君莲宏润丽苑,85.67,南,2室1厅1卫,4300.0
整租·万科翡翠公园（商用） 1室1厅 西,浦东,张江,万科翡翠公园（商用）,46.08,西,1室1厅1卫,6200.0
整租·蝶恋园 2室2厅 南/北,浦东,金杨,蝶恋园,89.12,南北,2室2厅1卫,7000.0
整租·海伦堡爱ME城市 1室1厅 南,嘉定,南翔,海伦堡爱ME城市,61.0,南,1室1厅1卫,3300.0
整租·贤青雅苑 2室2厅 南/北,奉贤,青村,贤青雅苑,72.47,南北,2室2厅1卫,1500.0
整租·徐汇苑 2室1厅 南,徐汇,龙华,徐汇苑,135.0,南,2室1厅1卫,15190.0
整租·凯旋新村 1室1厅 南,徐汇,徐家汇,凯旋新村,51.71,南,1室1厅1卫,7200.0
整租·富泉公寓 2室1厅 南,静安,不夜城,富泉公寓,99.0,南,2室1厅1卫,8930.0
整租·万科梦想派 3室2厅 南,松江,松江大学城,万科梦想派,85.91,南,3室2厅1卫,5500.0
整租·名门滨江苑 3室2厅 南/北,浦东,梅园,名门滨江苑,154.65,南北,3室2厅2卫,16000.0
整租·嘉富利大厦 3室2厅 南,普陀,光新,嘉富利大厦,111.55,南,3室2厅1卫,9500.0
整租·瑞雪大楼 1室1厅 西南,黄浦,淮海中路,瑞雪大楼,53.58,西南,1室1厅1卫,7600.0
整租·万科金色领域 3室1厅 南,嘉定,菊园新区,万科金色领域,89.55,南,3室1厅1卫,4000.0
整租·申亚新华府 3室3厅 南/北,长宁,新华路,申亚新华府,175.27,南北,3室3厅2卫,24000.0
整租·东旭雅苑 2室1厅 南,浦东,高行,东旭雅苑,76.0,南,2室1厅1卫,5000.0
整租·新天大厦 1室1厅 南,普陀,长寿路,新天大厦,48.0,南,1室1厅1卫,4600.0
整租·呼玛一村 2室1厅 南,宝山,张庙,呼玛一村,55.41,南,2室1厅1卫,3800.0
整租·莘城公寓 3室2厅 南,闵行,莘庄南广场,莘城公寓,136.98,南,3室2厅2卫,8500.0
整租·嘉隆国际广场 4室2厅 复式 南/北,嘉定,徐行,嘉隆国际广场,189.72,南北,4室2厅2卫,6000.0
整租·长城小区 1室1厅 北,静安,曹家渡,长城小区,26.44,北,1室1厅1卫,6000.0
整租·森兰美伦 3室2厅 南,浦东,高行,森兰美伦,171.96,南,3室2厅2卫,15800.0
整租·山龙新村 3室1厅 南,金山,金山新城,山龙新村,100.0,南,3室1厅1卫,3000.0
整租·中企海睿滨江 3室2厅 南/北,浦东,梅园,中企海睿滨江,172.45,南北,3室2厅2卫,36000.0
整租·莘松七村 2室1厅 南,闵行,莘庄北广场,莘松七村,50.24,南,2室1厅1卫,3900.0
整租·梅园二街坊 1室1厅 南/西,浦东,梅园,梅园二街坊,38.31,南西,1室1厅1卫,5500.0
整租·君莲宏润丽苑 2室1厅 南,闵行,颛桥,君莲宏润丽苑,85.67,南,2室1厅1卫,4300.0
整租·万科翡翠公园（商用） 1室1厅 西,浦东,张江,万科翡翠公园（商用）,46.08,西,1室1厅1卫,6200.0
整租·海伦堡爱ME城市 1室1厅 南,嘉定,南翔,海伦堡爱ME城市,61.0,南,1室1厅1卫,3300.0
整租·宝华帝华园 3室2厅 南/北,奉贤,青村,宝华帝华园,90.9,南北,3室2厅2卫,4000.0
整租·龙沟新苑 2室2厅 南,浦东,北蔡,龙沟新苑,120.0,南,2室2厅1卫,7500.0
整租·东源名都 2室2厅 南,浦东,高行,东源名都,102.0,南,2室2厅1卫,7300.0
整租·融创外滩壹号院 4室3厅 南/北,黄浦,黄浦滨江,融创外滩壹号院,292.0,南北,4室3厅5卫,95000.0
整租·阳光名苑 2室2厅 南,徐汇,徐家汇,阳光名苑,125.95,南,2室2厅1卫,17500.0
整租·卢湾城市花园 2室1厅 南,黄浦,世博滨江,卢湾城市花园,95.88,南,2室1厅1卫,15000.0
整租·大华公园世家康华苑 2室1厅 南/北,宝山,大华,大华公园世家康华苑,87.36,南北,2室1厅1卫,6800.0
整租·金汇华光城 4室2厅 复式 南,闵行,金汇,金汇华光城,236.24,南,4室2厅3卫,22000.0
整租·泷湾苑 4室2厅 复式 南,青浦,赵巷,泷湾苑,391.81,南,4室2厅4卫,8000.0
整租·阳光威尼斯(三期) 2室1厅 南,普陀,真光,阳光威尼斯(三期),62.77,南,2室1厅1卫,5060.0
整租·万盛金邸 2室1厅 南,金山,金山新城,万盛金邸,85.42,南,2室1厅1卫,2600.0
整租·骏豪国际 1室1厅 西北,静安,南京西路,骏豪国际,50.96,西北,1室1厅1卫,7000.0
整租·环镇西路39、41弄 2室1厅 南,闵行,金汇,环镇西路39、41弄,52.32,南,2室1厅1卫,6230.0
整租·怡君苑 4室2厅 复式 南,青浦,徐泾,怡君苑,400.0,南,4室2厅3卫,35000.0
整租·远洋7号酒店式公寓 1室1厅 南,宝山,罗店,远洋7号酒店式公寓,41.0,南,1室1厅1卫,2200.0
整租·毕加索小镇(一期)(别墅) 3室2厅 复式 南,浦东,唐镇,毕加索小镇(一期)(别墅),242.71,南,3室2厅2卫,22000.0
整租·四季园 3室2厅 南,徐汇,徐家汇,四季园,140.3,南,3室2厅2卫,20000.0
整租·延吉三村 2室1厅 南,杨浦,黄兴公园,延吉三村,50.96,南,2室1厅1卫,6560.0
整租·赛杰苑(公寓) 2室1厅 南,松江,松江新城,赛杰苑(公寓),94.6,南,2室1厅1卫,4000.0
整租·罗山花苑 3室2厅 南,浦东,碧云,罗山花苑,85.14,南,3室2厅2卫,15500.0
整租·同润圣塔路斯 4室2厅 复式 南,松江,泗泾,同润圣塔路斯,435.0,南,4室2厅4卫,22000.0
整租·凯旋汇 2室1厅 东,浦东,陆家嘴,凯旋汇,115.37,东,2室1厅2卫,25500.0
整租·招商中环华府 3室2厅 南/北,宝山,大场镇,招商中环华府,97.84,南北,3室2厅2卫,7000.0
整租·泗泾颐景园 5室2厅 复式 南,松江,泗泾,泗泾颐景园,303.85,南,5室2厅2卫,16000.0
整租·金原新苑 2室1厅 南,普陀,甘泉宜川,金原新苑,79.0,南,2室1厅1卫,6760.0
整租·长虹小区 1室1厅 南,长宁,新华路,长虹小区,35.78,南,1室1厅1卫,5830.0
整租·米兰诺贵都 3室2厅 南,松江,泗泾,米兰诺贵都,88.67,南,3室2厅2卫,5000.0
整租·仁恒河滨城(三期) 4室2厅 南,浦东,联洋,仁恒河滨城(三期),191.39,南,4室2厅3卫,35000.0
整租·崧泽华城华中苑 3室1厅 南,青浦,赵巷,崧泽华城华中苑,92.0,南,3室1厅1卫,3800.0
整租·中铁北城时代 2室1厅 南/北,宝山,杨行,中铁北城时代,85.0,南北,2室1厅1卫,4800.0
整租·车站新村(普陀) 1室1厅 南/北,普陀,真如,车站新村(普陀),33.91,南北,1室1厅1卫,3200.0
整租·峨山小区 1室1厅 南,浦东,塘桥,峨山小区,33.0,南,1室1厅1卫,5090.0
整租·华美达公寓 1室0厅 东北,杨浦,黄兴公园,华美达公寓,54.0,东北,1室0厅1卫,5800.0
整租·尚海湾豪庭(二期） 4室3厅 南/北,徐汇,徐汇滨江,尚海湾豪庭(二期）,287.1,南北,4室3厅3卫,95000.0
整租·东渡悦来城 1室1厅 西,青浦,盈浦,东渡悦来城,60.0,西,1室1厅1卫,3500.0
整租·新凯城银杏苑 2室1厅 南,松江,泗泾,新凯城银杏苑,70.0,南,2室1厅1卫,2800.0
整租·新紫茂国际 2室1厅 南,浦东,金桥,新紫茂国际,60.0,南,2室1厅1卫,6000.0
整租·金巷小区 2室1厅 南,浦东,金桥,金巷小区,75.48,南,2室1厅1卫,5600.0
整租·绿地云天坊 2室1厅 南,松江,泗泾,绿地云天坊,50.21,南,2室1厅1卫,3600.0
整租·江南名庐 1室1厅 南,普陀,武宁,江南名庐,58.0,南,1室1厅1卫,7900.0
整租·园南新村 2室1厅 南,徐汇,植物园,园南新村,60.0,南,2室1厅1卫,4645.0
整租·嘉憬河畔公寓 3室2厅 南,青浦,夏阳,嘉憬河畔公寓,126.09,南,3室2厅2卫,4300.0
整租·乐活居 2室1厅 西,普陀,长寿路,乐活居,63.42,西,2室1厅1卫,10500.0
整租·菊泉新城(陆翔路698弄) 2室2厅 南/北,宝山,顾村,菊泉新城(陆翔路698弄),78.0,南北,2室2厅1卫,4000.0
整租·长源小区 2室1厅 南/北,长宁,中山公园,长源小区,51.78,南北,2室1厅1卫,7800.0
整租·银龙新村 1室1厅 南,杨浦,东外滩,银龙新村,38.0,南,1室1厅1卫,4690.0
整租·万科七宝国际 1室1厅 南,闵行,七宝,万科七宝国际,42.32,南,1室1厅2卫,6860.0
整租·绿地峰尚汇 1室1厅 南,闵行,浦江,绿地峰尚汇,45.0,南,1室1厅1卫,4300.0
整租·龙湖北城天街 1室1厅 南,宝山,顾村,龙湖北城天街,31.85,南,1室1厅1卫,2800.0
整租·紫薇茗庭 2室1厅 南,松江,泗泾,紫薇茗庭,82.56,南,2室1厅1卫,3200.0
整租·程桥二村 2室1厅 南,长宁,西郊,程桥二村,57.95,南,2室1厅1卫,6300.0
整租·中铁逸都 2室1厅 南,青浦,夏阳,中铁逸都,97.89,南,2室1厅1卫,4590.0
整租·长宁路1600弄8号 1室1厅 南,长宁,中山公园,长宁路1600弄8号,46.3,南,1室1厅1卫,4890.0
整租·阳曲路470弄 2室1厅 南,静安,彭浦,阳曲路470弄,47.9,南,2室1厅1卫,4460.0
整租·长风一村小区 1室1厅 南,普陀,长风,长风一村小区,39.94,南,1室1厅1卫,5800.0
整租·宁兴上尚湾 1室2厅 南,嘉定,江桥,宁兴上尚湾,68.89,南,1室2厅1卫,5500.0
整租·宜川华庭 2室2厅 南,普陀,甘泉宜川,宜川华庭,105.0,南,2室2厅1卫,8500.0
整租·西门南村 2室1厅 南,崇明,崇明新城,西门南村,67.72,南,2室1厅1卫,1500.0
整租·临汾路1564弄 1室1厅 南,静安,彭浦,临汾路1564弄,32.32,南,1室1厅1卫,3700.0
整租·星尚湾名邸 2室2厅 南/北,青浦,华新,星尚湾名邸,87.02,南北,2室2厅1卫,4200.0
整租·永和二村 1室1厅 南,静安,永和,永和二村,43.81,南,1室1厅1卫,4035.0
整租·中紫小区 1室0厅 南,长宁,虹桥,中紫小区,50.56,南,1室0厅1卫,5600.0
整租·控江路1200弄 1室0厅 北,杨浦,控江路,控江路1200弄,34.77,北,1室0厅1卫,3800.0
整租·培育苑 2室1厅 南,浦东,北蔡,培育苑,61.96,南,2室1厅1卫,5800.0
整租·大名城名郡 3室2厅 南,嘉定,安亭,大名城名郡,88.08,南,3室2厅1卫,4200.0
整租·中漕小区 2室1厅 东,徐汇,徐家汇,中漕小区,44.7,东,2室1厅1卫,6890.0
整租·嘉利大厦 1室2厅 南,长宁,新华路,嘉利大厦,78.75,南,1室2厅1卫,12500.0
整租·包运大厦 1室1厅 东,静安,西藏北路,包运大厦,42.0,东,1室1厅1卫,5690.0
整租·虹莘新村（北区） 1室1厅 南,闵行,古美,虹莘新村（北区）,49.73,南,1室1厅1卫,4860.0
整租·毕加索小镇(一期)(公寓) 2室1厅 南,浦东,唐镇,毕加索小镇(一期)(公寓),66.21,南,2室1厅1卫,5600.0
整租·民苑小区 2室2厅 南,徐汇,徐汇滨江,民苑小区,68.82,南,2室2厅1卫,8000.0
整租·万源新城北区 1室1厅 南,闵行,金汇,万源新城北区,61.34,南,1室1厅1卫,6735.0
整租·北海大厦 2室1厅 南,徐汇,万体馆,北海大厦,64.54,南,2室1厅1卫,8200.0
整租·上南六村 1室1厅 南,浦东,世博,上南六村,30.08,南,1室1厅1卫,4790.0
整租·碧海现代苑 1室1厅 南,浦东,金桥,碧海现代苑,49.31,南,1室1厅1卫,5690.0
整租·贵峰苑 3室1厅 南,闵行,颛桥,贵峰苑,86.96,南,3室1厅1卫,5500.0
整租·阳光名苑 2室2厅 南,徐汇,徐家汇,阳光名苑,125.95,南,2室2厅1卫,17500.0
整租·凌兆新村(上浦路69弄) 2室1厅 南,浦东,三林,凌兆新村(上浦路69弄),48.73,南,2室1厅1卫,5300.0
整租·海趣馨苑 2室2厅 南,金山,金山新城,海趣馨苑,88.26,南,2室2厅1卫,2600.0
整租·阳光花城 2室2厅 南,浦东,张江,阳光花城,113.0,南,2室2厅1卫,9500.0
整租·东渡悦来城 2室1厅 东南,青浦,盈浦,东渡悦来城,60.44,东南,2室1厅1卫,3700.0
整租·民星住宅小区 2室1厅 南/北,杨浦,中原,民星住宅小区,75.17,南北,2室1厅1卫,6300.0
整租·百汇园 2室2厅 南,徐汇,徐汇滨江,百汇园,151.96,南,2室2厅2卫,26000.0
整租·仙逸小区 1室1厅 南,长宁,仙霞,仙逸小区,34.52,南,1室1厅1卫,4930.0
整租·人生港湾南欧城 2室2厅 南/北,浦东,惠南,人生港湾南欧城,102.82,南北,2室2厅1卫,3300.0
整租·日月光伯爵天地 3室2厅 南/北,嘉定,菊园新区,日月光伯爵天地,95.09,南北,3室2厅2卫,4500.0
整租·同济新村 2室1厅 南,杨浦,鞍山,同济新村,59.7,南,2室1厅1卫,6000.0
整租·大华锦绣华城(十五街区) 2室1厅 南,浦东,北蔡,大华锦绣华城(十五街区),90.62,南,2室1厅1卫,12500.0
整租·同益里 1室1厅 南,黄浦,人民广场,同益里,20.7,南,1室1厅1卫,3900.0
整租·汤臣中心 1室1厅 西,浦东,陆家嘴,汤臣中心,66.0,西,1室1厅1卫,8000.0
整租·南园小区 2室1厅 东南,黄浦,打浦桥,南园小区,62.83,东南,2室1厅1卫,7560.0
整租·宾川路380弄 1室1厅 北,闵行,老闵行,宾川路380弄,38.75,北,1室1厅1卫,3830.0
整租·龙湖郦城 1室1厅 东,嘉定,嘉定新城,龙湖郦城,39.42,东,1室1厅1卫,3260.0
整租·浦发东悦城 2室1厅 南,浦东,周浦,浦发东悦城,72.01,南,2室1厅1卫,4500.0
整租·隆昌路718弄 2室1厅 南,杨浦,控江路,隆昌路718弄,52.0,南,2室1厅1卫,5400.0
整租·新泾七村 2室1厅 西,长宁,北新泾,新泾七村,59.4,西,2室1厅1卫,5600.0
整租·绿洲湖畔花园 2室2厅 南,普陀,长征,绿洲湖畔花园,116.71,南,2室2厅1卫,11500.0
整租·嘉汇广场 3室2厅 南,徐汇,徐家汇,嘉汇广场,129.0,南,3室2厅2卫,19000.0
整租·文兰小区 1室1厅 南,浦东,塘桥,文兰小区,31.53,南,1室1厅1卫,5090.0
整租·富民公寓 2室1厅 南,静安,静安寺,富民公寓,99.19,南,2室1厅1卫,19000.0
整租·万科白马花园(别墅) 4室3厅 复式 南/北,松江,莘闵别墅,万科白马花园(别墅),182.45,南北,4室3厅3卫,8300.0
整租·首创禧悦芳菲 3室2厅 南,青浦,盈浦,首创禧悦芳菲,88.45,南,3室2厅2卫,5000.0
整租·梅园四街坊 2室1厅 南,浦东,梅园,梅园四街坊,50.91,南,2室1厅1卫,6490.0
整租·碧云东壹栋 1室1厅 东/东南,浦东,金桥,碧云东壹栋,72.0,东东南,1室1厅1卫,6500.0
整租·东川花苑 2室1厅 南,闵行,老闵行,东川花苑,58.42,南,2室1厅1卫,5130.0
整租·万科西郊都会 4室1厅 南/北,嘉定,安亭,万科西郊都会,131.13,南北,4室1厅2卫,6900.0
整租·虹鹿一公寓 2室1厅 南,闵行,金虹桥,虹鹿一公寓,49.51,南,2室1厅1卫,6800.0
整租·张杨路370弄 1室1厅 南,浦东,陆家嘴,张杨路370弄,30.43,南,1室1厅1卫,5660.0
整租·升平小区 1室1厅 南,静安,南京西路,升平小区,33.55,南,1室1厅1卫,6330.0
整租·香榭苑 4室2厅 南,长宁,新华路,香榭苑,165.23,南,4室2厅2卫,35000.0
整租·凌兆新村(上浦路69弄) 1室1厅 南,浦东,三林,凌兆新村(上浦路69弄),42.0,南,1室1厅1卫,4830.0
整租·汤臣湖庭 4室2厅 复式 南/北,浦东,张江,汤臣湖庭,392.74,南北,4室2厅4卫,50000.0
整租·凌一小区 1室1厅 南,浦东,洋泾,凌一小区,44.97,南,1室1厅1卫,6160.0
整租·万科五玠坊 4室2厅 南,浦东,杨思前滩,万科五玠坊,246.0,南,4室2厅4卫,34000.0
整租·中海万锦城(二期) 1室1厅 南,静安,不夜城,中海万锦城(二期),62.92,南,1室1厅2卫,10000.0
整租·上隽嘉苑(公寓) 2室1厅 南,嘉定,南翔,上隽嘉苑(公寓),84.88,南,2室1厅1卫,5230.0
整租·世茂滨江花园 4室2厅 西南,浦东,陆家嘴,世茂滨江花园,312.82,西南,4室2厅3卫,42000.0
整租·青浦万达茂(公寓) 2室2厅 复式 南,青浦,盈浦,青浦万达茂(公寓),65.48,南,2室2厅1卫,4000.0
整租·湘源大厦 2室1厅 东,宝山,淞南,湘源大厦,40.1,东,2室1厅1卫,4300.0
整租·旭辉锦庭 3室2厅 南/北,嘉定,菊园新区,旭辉锦庭,118.37,南北,3室2厅2卫,4400.0
整租·浦锦路1306号 2室1厅 西,闵行,浦江,浦锦路1306号,59.44,西,2室1厅1卫,3900.0
整租·万科锦源(公寓) 2室2厅 东北,青浦,赵巷,万科锦源(公寓),86.41,东北,2室2厅1卫,5600.0
